Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Nature of the offence, total;Sorø;1795;1996;2034;2557;2152;1929;1928;2249;1948;2331;2132;1844;1752;1472
Reported criminal offences;Nature of the offence, total;Stevns;881;1003;994;1179;929;983;1036;1000;914;926;891;983;805;788
Reported criminal offences;Nature of the offence, total;Vordingborg;3570;4177;3764;3559;3977;3119;2931;3166;3174;3577;3387;2748;2779;2412
Reported criminal offences;Nature of the offence, total;Region Syddanmark;104273;113217;115548;110419;110526;99007;96787;93242;85967;84204;85797;85268;83954;78439
Reported criminal offences;Nature of the offence, total;Assens;2453;2788;2958;2820;2411;2406;2363;2125;1781;1923;1603;1890;2214;2628
Reported criminal offences;Nature of the offence, total;Faaborg-Midtfyn;2376;2988;3233;3122;3304;2972;2407;2837;2330;2153;2414;2519;2148;2235
Reported criminal offences;Nature of the offence, total;Kerteminde;1341;1375;1616;1424;1300;1405;1386;1232;1154;924;977;1100;1079;1121
Reported criminal offences;Nature of the offence, total;Langeland;656;838;942;779;700;782;583;592;556;572;601;618;645;582
Reported criminal offences;Nature of the offence, total;Middelfart;2845;3164;3116;3114;3087;2729;2510;2605;1984;2170;2462;2181;2263;2087
Reported criminal offences;Nature of the offence, total;Nordfyns;1692;2022;2375;1989;1915;1740;1396;1521;1247;1390;1228;1611;1417;1398
Reported criminal offences;Nature of the offence, total;Nyborg;2404;2843;3136;2824;2880;2845;2260;2312;2139;2168;2315;2097;2230;2037
Reported criminal offences;Nature of the offence, total;Odense;23142;23739;24112;22982;22989;20979;21051;19528;17746;17240;16923;15967;16519;17013
Reported criminal offences;Nature of the offence, total;Svendborg;3844;4501;4419;4398;4184;3893;3756;3335;3072;2895;3591;3296;3294;3261
Reported criminal offences;Nature of the offence, total;Ærø;255;222;196;164;149;192;203;160;144;160;340;457;166;149
Reported criminal offences;Nature of the offence, total;Billund;1839;2262;2582;2700;2575;2594;2341;2048;1981;1756;1981;2030;2174;1701
Reported criminal offences;Nature of the offence, total;Esbjerg;10639;11438;11085;11294;11666;10198;9681;9652;8930;8875;8676;9421;9357;9246
Reported criminal offences;Nature of the offence, total;Fanø;281;173;167;170;151;183;166;183;146;143;178;233;153;160
Reported criminal offences;Nature of the offence, total;Fredericia;5447;6046;6005;6193;5901;5275;5968;5435;5220;5366;5442;4714;4786;4279
Reported criminal offences;Nature of the offence, total;Haderslev;5108;5583;5305;4599;4499;4258;4159;4546;4017;4508;3830;3439;3125;2719
Reported criminal offences;Nature of the offence, total;Kolding;9291;9876;9838;8663;8963;7823;8004;8204;8125;7150;8076;7950;6807;5857
Reported criminal offences;Nature of the offence, total;Sønderborg;5496;6110;6502;6117;5983;5074;5136;5040;4129;4620;4639;4446;4130;3334
Reported criminal offences;Nature of the offence, total;Tønder;3188;3324;3189;3109;3410;2828;2814;2673;2388;2178;2154;2610;3105;2224
Reported criminal offences;Nature of the offence, total;Varde;3325;3570;3687;3765;3742;3257;3043;2921;2744;2663;2841;3059;2911;2373
Reported criminal offences;Nature of the offence, total;Vejen;3396;3271;3296;3611;3144;2955;3402;2470;2276;2218;2103;2183;2225;2107
Reported criminal offences;Nature of the offence, total;Vejle;8620;9735;10534;10013;11018;8992;8803;8270;8075;7461;7778;8162;7862;6400
Reported criminal offences;Nature of the offence, total;Aabenraa;6635;7349;7255;6569;6555;5627;5355;5553;5783;5671;5645;5285;5344;5528
Reported criminal offences;Nature of the offence, total;Region Midtjylland;101943;105901;107395;106126;108705;102259;99386;91656;85964;87759;98188;102129;93665;78457
Reported criminal offences;Nature of the offence, total;Favrskov;2567;2579;2366;2728;2761;2426;2378;2064;2051;1982;3163;2039;1954;1785
Reported criminal offences;Nature of the offence, total;Hedensted;2451;2581;2881;2691;2980;2577;2288;2030;2123;2209;2267;2294;2113;1727
