Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Region Sjælland;Homosexual offence against a child under 12 (Repealed in 2013);4;1;1;0;2;0;1;0;0;0;0;0;0;0
Region Sjælland;Any other kind of homosexual offence (Repealed in 2013);7;6;2;1;3;1;1;0;0;0;0;0;0;0
Region Sjælland;Offence against public decency by groping;31;37;35;68;56;55;45;47;39;73;71;97;84;91
Region Sjælland;Offence against public decency by indecent exposure;22;12;14;20;38;37;45;45;19;39;13;25;31;41
Region Sjælland;Any other kind of offence against public decency;51;32;36;68;60;51;42;114;69;51;127;98;110;121
Region Sjælland;Prostitution, etc.;41;42;28;27;26;26;20;34;30;21;76;136;58;63
Region Sjælland;Crimes of violence, total;2141;1950;1897;1910;1866;1839;1870;1889;1796;2126;2249;2472;2901;2910
Region Sjælland;Violence against public authority;369;271;283;281;283;293;307;332;341;449;500;574;687;641
Region Sjælland;Unlawful assembly/disturbance of public order;0;8;1;0;3;0;2;0;0;1;0;15;4;22
Region Sjælland;Homicide;6;10;7;14;7;4;4;7;8;3;4;5;10;7
Region Sjælland;Attempted homicide;30;17;20;15;27;16;19;16;15;15;13;27;19;16
Region Sjælland;Coercive control;0;0;0;0;0;0;0;0;0;0;0;0;13;44
Region Sjælland;Common assault;1052;902;877;890;846;803;828;843;808;921;956;1010;1127;1122
Region Sjælland;Assault causing actual bodily harm;165;196;204;218;204;209;206;194;156;178;201;179;242;214
Region Sjælland;Particularly aggravated assault;5;1;3;1;2;4;3;1;1;1;3;1;2;1
Region Sjælland;Unprovoked assault;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;Any other kind of intentional trespass to the person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;Intentional bodily harm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;Causing death or bodily harm by negligence;11;7;7;5;6;3;1;2;2;3;2;8;3;1
Region Sjælland;Offences against life and limb;50;61;57;66;48;59;44;43;40;56;61;70;59;44
Region Sjælland;Offences against personal liberty;31;30;23;26;33;46;38;46;38;37;47;41;54;69
Region Sjælland;Threats;422;447;415;394;407;402;418;405;387;462;462;542;681;729
Region Sjælland;Offences against property, total;5946;5921;6225;7047;7906;7680;8193;7647;6611;10217;8045;7425;6454;9182
Region Sjælland;Forgery;184;121;129;285;128;257;213;251;229;129;140;207;118;97
Region Sjælland;Cheque forgery;26;23;34;15;20;4;5;2;0;0;0;0;0;0
Region Sjælland;Arson;95;74;77;76;89;94;72;79;78;59;65;89;94;67
Region Sjælland;Burglary - business and community;271;300;313;311;357;250;213;260;191;144;178;133;110;156
Region Sjælland;Residential burglaries;340;446;423;557;739;626;474;412;219;292;173;154;183;157
Region Sjælland;Burglary (uninhabited buildings);92;86;103;116;142;151;87;73;81;63;57;48;50;57
Region Sjælland;Theft from conveyances;174;280;193;239;196;159;104;74;70;96;82;110;119;150
Region Sjælland;Shoplifting, etc.;1520;1387;1613;1706;1720;1752;1870;1958;1765;1561;1203;1191;1255;1394
Region Sjælland;Other kinds of theft;1122;1102;1052;1311;1815;1402;1462;1313;1106;1051;1184;1319;678;1404
Region Sjælland;Theft of/taking vehicle without the owners consent (TWOC);303;460;399;376;354;331;341;267;276;381;337;351;244;343
Region Sjælland;Theft of/taking moped without the owners consent (TWOC);109;61;57;39;38;28;23;25;9;20;12;13;12;13
Region Sjælland;Theft of/taking bicycle without the owners consent (TWOC);53;36;32;36;35;50;85;51;40;44;42;29;39;28
Region Sjælland;Theft of/taking other objects without the owners consent (TWOC);72;103;101;97;114;85;105;89;80;67;85;83;88;108
Region Sjælland;Theft by finding;76;57;83;84;132;112;104;92;57;77;73;70;54;50
Region Sjælland;Embezzlement;24;18;65;36;72;153;475;340;130;1082;10;6;135;65
Region Sjælland;Fraud;360;359;477;734;887;1022;1175;954;1340;2752;2293;1734;1203;2122
Region Sjælland;Fraud by cheque;7;18;17;40;21;2;12;3;2;0;0;0;0;0
Region Sjælland;Fraud by abuse of position;12;4;6;7;34;126;4;348;107;348;166;4;13;82
Region Sjælland;Blackmail and usury;24;35;43;27;53;34;47;42;63;52;50;140;64;70
Region Sjælland;Fraud against creditors;8;2;5;10;22;9;16;11;12;2;5;4;4;3
Region Sjælland;Handling stolen goods;149;111;162;188;212;213;246;287;108;478;87;111;70;110
Region Sjælland;Robbery;163;195;201;167;156;143;132;95;103;93;95;80;93;98
Region Sjælland;Aggravated tax evasion etc.;27;21;11;12;7;41;42;39;18;69;21;8;15;21
Region Sjælland;Malicious damage to property;717;590;566;522;544;589;474;492;479;494;515;757;604;754
Region Sjælland;Receiving stolen goods by negligence;4;4;1;6;0;4;8;5;0;3;2;0;2;1
Region Sjælland;Offence against and infringement of property;14;28;62;50;19;43;404;85;48;860;1170;784;1207;1832
Region Sjælland;Other offences, total;665;684;714;939;973;870;726;742;702;773;706;709;725;756
Region Sjælland;Offences against public authority, etc.;168;154;194;180;261;268;222;226;250;228;222;198;206;121
Region Sjælland;Offences by public servants;8;3;3;6;3;6;4;11;5;19;26;4;9;7
Region Sjælland;Perjury;11;4;12;7;12;11;8;14;6;4;4;5;5;6
Region Sjælland;Any other kind of false statement;149;136;117;184;225;207;142;141;109;106;122;170;88;129
Region Sjælland;Offences concerning money and evidence;30;26;30;39;59;97;58;44;46;80;27;40;55;48
Region Sjælland;Trafficking of drugs, etc.;68;84;78;95;108;87;80;96;113;91;66;74;93;113
Region Sjælland;Smuggling etc. of drugs;10;9;19;19;22;10;9;6;13;9;10;8;15;22
Region Sjælland;General public offences etc.;9;18;62;105;129;55;69;60;47;64;80;66;46;65
Region Sjælland;Illegal trade, etc.;1;0;3;4;2;4;2;9;5;4;2;2;2;2
Region Sjælland;Family relation offences;4;6;2;12;2;5;9;8;3;5;7;10;5;7
Region Sjælland;Involuntary manslaughter etc. in connection with traffic accident;54;49;57;45;36;30;26;25;22;37;42;39;40;25
Region Sjælland;Non-molestation order (Repealed in 2012);98;136;75;93;33;11;0;0;0;0;0;0;0;0
Region Sjælland;Invasion of privacy and defamation;55;59;62;150;81;79;97;102;83;126;98;93;161;211
Region Sjælland;Special acts, total;3294;3417;3657;4280;5830;6663;7119;9051;9126;8652;7143;12037;10959;9925
Region Sjælland;Euphoriants Act;1185;1398;1447;1559;2068;2212;2121;2935;1739;1937;2386;2469;2521;1869
Region Sjælland;The Offensive Weapons Act;798;824;957;881;991;960;886;787;730;906;1029;1892;2420;1633
Region Sjælland;Tax legislation and fiscal acts, etc.;15;23;12;8;18;188;360;305;216;179;110;220;246;382
Region Sjælland;Other special acts in criminal law;421;427;435;788;1377;1509;1820;3245;5087;3914;2473;5727;3711;4057
Region Sjælland;Health and social security legislation;53;67;65;66;100;77;81;69;42;57;47;59;111;198
Region Sjælland;Building and housing legislation;0;2;0;1;0;2;2;2;2;2;1;1;4;3
Region Sjælland;The environmental protection act;39;61;65;77;71;105;129;100;57;31;31;210;91;159
Region Sjælland;Legislation on animals, hunting, etc.;209;188;259;383;538;534;384;356;279;249;178;262;327;411
Region Sjælland;Legislation on employment, transport, etc.;279;230;175;255;353;671;815;745;554;580;399;599;935;1037
Region Sjælland;The Companies Act;2;1;2;2;17;17;14;5;3;23;1;6;4;16
Region Sjælland;Legislation on the national defence;74;40;68;59;41;95;201;214;172;596;374;439;451;101
Region Sjælland;Legislation applying to public utilities;8;2;20;6;9;7;10;10;4;3;2;3;2;5
Region Sjælland;Legislation on gambling, licencing, trade;207;146;151;193;242;276;288;278;241;170;110;141;133;49
Region Sjælland;Any other special legislation;4;8;1;2;5;10;8;0;0;5;2;9;3;5
Region Sjælland;Special legislation, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Syddanmark;Nature of the offence, total;22796;21960;22869;24892;30520;28379;28658;29319;27264;25934;26223;29532;34447;35082
Region Syddanmark;Penal Code, total;16467;15268;16187;17622;19072;17164;17274;18084;15785;15261;16189;15830;17636;17190
Region Syddanmark;Penal code, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Syddanmark;Sexual offenses, total;465;468;408;479;410;445;431;524;565;527;610;826;738;713
Region Syddanmark;Incest, etc.;14;22;11;16;8;24;17;13;12;7;9;10;9;4
Region Syddanmark;Rape, etc.;96;68;80;67;84;77;66;62;80;108;128;140;175;182
Region Syddanmark;Heterosexual offence against a child under 12 (Repealed in 2013);63;48;33;54;43;42;23;0;0;0;0;0;0;0
Region Syddanmark;Sexual offence against a child under 12 (New from 2013);0;0;0;0;0;0;25;29;40;28;37;54;45;47
Region Syddanmark;Any other kind of heterosexual offence (Repealed in 2013);60;98;60;92;65;62;37;0;0;0;0;0;0;0
Region Syddanmark;Sexual offence against a child under 15 (New from 2013);0;0;0;0;0;0;19;50;57;55;39;82;88;56
Region Syddanmark;Any other kind of sexual offence (New from 2013);0;0;0;0;0;0;16;27;22;34;40;40;31;39
Region Syddanmark;Homosexual offence against a child under 12 (Repealed in 2013);4;2;0;2;0;1;2;0;0;0;0;0;0;0
Region Syddanmark;Any other kind of homosexual offence (Repealed in 2013);0;2;2;0;4;0;3;0;0;0;0;0;0;0
Region Syddanmark;Offence against public decency by groping;82;77;80;79;77;95;64;114;101;116;88;106;118;103
Region Syddanmark;Offence against public decency by indecent exposure;35;25;35;41;37;37;42;41;57;53;42;48;44;51
Region Syddanmark;Any other kind of offence against public decency;64;73;67;92;55;64;71;120;123;91;108;188;133;140
Region Syddanmark;Prostitution, etc.;47;53;40;36;37;43;46;68;73;35;119;158;95;91
Region Syddanmark;Crimes of violence, total;3636;3304;3434;3559;3565;3429;3127;3018;2894;3433;3664;3949;4227;4266
Region Syddanmark;Violence against public authority;609;577;561;578;604;663;692;640;691;885;1001;1086;1016;1304
Region Syddanmark;Unlawful assembly/disturbance of public order;2;0;2;1;2;5;3;3;3;2;0;18;10;9
Region Syddanmark;Homicide;10;10;11;6;11;8;8;8;4;10;8;5;6;9
Region Syddanmark;Attempted homicide;27;23;31;25;23;29;17;21;20;31;23;24;16;17
Region Syddanmark;Coercive control;0;0;0;0;0;0;0;0;0;0;0;0;11;36
Region Syddanmark;Common assault;1767;1619;1641;1710;1670;1557;1459;1350;1257;1423;1544;1644;1644;1491
Region Syddanmark;Assault causing actual bodily harm;312;305;305;324;318;325;226;253;240;268;208;281;262;286
Region Syddanmark;Particularly aggravated assault;7;3;3;1;4;1;0;2;2;1;3;0;0;1
Region Syddanmark;Unprovoked assault;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Syddanmark;Any other kind of intentional trespass to the person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Syddanmark;Intentional bodily harm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Syddanmark;Causing death or bodily harm by negligence;8;6;13;3;3;11;3;3;2;3;6;4;7;4
Region Syddanmark;Offences against life and limb;64;57;75;73;63;74;70;50;48;76;81;110;74;90
Region Syddanmark;Offences against personal liberty;59;55;62;62;53;47;41;49;40;42;62;64;173;90
Region Syddanmark;Threats;771;649;730;776;814;709;608;639;587;692;728;713;1008;929
Region Syddanmark;Offences against property, total;11141;10427;11120;12166;13108;11943;12181;13117;10803;10020;10589;9510;11005;10509
Region Syddanmark;Forgery;262;200;248;208;268;227;398;289;182;237;191;189;201;302
Region Syddanmark;Cheque forgery;85;81;92;37;24;43;14;23;1;0;0;0;0;0
Region Syddanmark;Arson;126;95;83;83;98;92;137;94;77;94;76;87;99;66
Region Syddanmark;Burglary - business and community;386;510;652;711;598;544;429;419;394;343;324;391;355;305
Region Syddanmark;Residential burglaries;483;682;827;779;807;727;678;631;634;510;433;524;379;392
Region Syddanmark;Burglary (uninhabited buildings);149;105;161;220;191;192;150;155;257;139;151;144;111;190
Region Syddanmark;Theft from conveyances;520;427;375;448;385;237;269;262;237;168;141;193;123;217
Region Syddanmark;Shoplifting, etc.;2739;2742;3019;3034;3033;3053;2949;3075;2541;2422;2319;2331;2525;2548
Region Syddanmark;Other kinds of theft;1979;1899;1856;2339;2808;2323;2454;2283;1773;1315;1491;1232;1424;1342
Region Syddanmark;Theft of/taking vehicle without the owners consent (TWOC);665;625;642;621;599;483;438;427;399;430;432;436;470;506
Region Syddanmark;Theft of/taking moped without the owners consent (TWOC);243;169;132;118;86;76;58;69;37;37;33;30;27;37
Region Syddanmark;Theft of/taking bicycle without the owners consent (TWOC);113;87;105;119;145;125;140;202;168;156;147;151;128;132
Region Syddanmark;Theft of/taking other objects without the owners consent (TWOC);233;232;224;254;292;235;240;251;200;199;142;219;196;179
Region Syddanmark;Theft by finding;84;86;88;127;165;133;111;117;89;106;63;69;67;82
Region Syddanmark;Embezzlement;44;48;64;199;105;172;183;219;97;95;918;196;934;288
Region Syddanmark;Fraud;934;691;704;1124;1676;1422;1765;2289;1997;1873;1764;1832;2174;2187
Region Syddanmark;Fraud by cheque;74;44;71;44;29;25;10;2;0;0;0;0;0;0
Region Syddanmark;Fraud by abuse of position;28;12;8;20;21;22;117;97;210;210;173;8;14;41
Region Syddanmark;Blackmail and usury;48;44;41;48;59;31;41;54;20;27;48;84;74;66
Region Syddanmark;Fraud against creditors;10;16;16;32;17;19;14;13;14;10;6;2;9;9
Region Syddanmark;Handling stolen goods;319;315;375;437;567;589;569;866;340;726;239;189;396;333
Region Syddanmark;Robbery;265;265;323;271;226;202;245;131;152;157;157;153;137;158
Region Syddanmark;Aggravated tax evasion etc.;47;52;21;10;15;27;26;19;21;19;2;4;15;96
Region Syddanmark;Malicious damage to property;1261;958;942;835;829;871;684;702;778;658;837;847;859;908
Region Syddanmark;Receiving stolen goods by negligence;7;7;8;13;9;4;9;7;5;3;1;2;5;0
Region Syddanmark;Offence against and infringement of property;37;35;43;35;56;69;53;421;180;86;501;197;283;125
Region Syddanmark;Other offences, total;1225;1069;1225;1418;1989;1347;1535;1425;1523;1281;1326;1545;1666;1702
Region Syddanmark;Offences against public authority, etc.;400;333;411;457;580;466;477;532;548;559;562;672;650;657
Region Syddanmark;Offences by public servants;1;2;2;6;15;10;8;13;17;6;20;22;13;19
Region Syddanmark;Perjury;17;12;12;7;14;23;24;27;7;11;10;12;5;10
Region Syddanmark;Any other kind of false statement;208;190;193;185;234;237;213;256;196;202;173;163;204;218
Region Syddanmark;Offences concerning money and evidence;50;61;61;88;275;81;76;117;138;55;78;120;96;115
Region Syddanmark;Trafficking of drugs, etc.;187;152;143;245;329;167;187;188;188;126;128;155;201;201
Region Syddanmark;Smuggling etc. of drugs;23;23;15;19;32;31;27;42;20;52;24;22;35;33
Region Syddanmark;General public offences etc.;3;23;74;137;97;89;63;56;50;59;66;52;59;110
Region Syddanmark;Illegal trade, etc.;2;1;7;2;3;3;20;10;8;10;8;2;3;0
Region Syddanmark;Family relation offences;8;3;7;2;3;4;6;3;10;8;6;5;11;7
Region Syddanmark;Involuntary manslaughter etc. in connection with traffic accident;48;47;70;37;54;48;60;42;40;39;46;72;57;58
Region Syddanmark;Non-molestation order (Repealed in 2012);157;113;130;128;169;18;0;0;0;0;0;0;0;0
Region Syddanmark;Invasion of privacy and defamation;121;109;100;105;184;170;374;139;301;154;205;248;332;274
Region Syddanmark;Special acts, total;6329;6692;6682;7270;11448;11215;11384;11235;11479;10673;10034;13702;16811;17892
Region Syddanmark;Euphoriants Act;2749;2981;2919;3113;3981;3431;3579;3565;3088;3307;4197;4801;5251;5880
Region Syddanmark;The Offensive Weapons Act;1377;1543;1531;1301;1633;1305;1337;1234;1419;1503;1626;3046;3816;2467
Region Syddanmark;Tax legislation and fiscal acts, etc.;81;26;64;62;58;387;473;484;399;349;190;280;482;1525
Region Syddanmark;Other special acts in criminal law;761;647;724;987;2867;3308;3383;3541;4462;3518;2551;3567;4948;5332
Region Syddanmark;Health and social security legislation;117;197;174;167;201;166;135;96;84;94;57;118;167;478
Region Syddanmark;Building and housing legislation;0;2;2;0;2;2;2;1;1;0;0;0;0;0
Region Syddanmark;The environmental protection act;71;119;94;147;177;218;226;279;254;163;67;228;94;285
Region Syddanmark;Legislation on animals, hunting, etc.;243;307;363;592;873;830;646;655;583;414;250;408;635;756
Region Syddanmark;Legislation on employment, transport, etc.;520;526;440;509;1111;927;795;720;615;557;358;557;634;885
Region Syddanmark;The Companies Act;6;5;4;10;7;17;14;12;9;13;3;1;9;8
Region Syddanmark;Legislation on the national defence;76;65;55;45;41;122;317;205;188;448;472;391;502;151
Region Syddanmark;Legislation applying to public utilities;20;14;20;10;26;29;13;13;9;2;1;1;0;2
Region Syddanmark;Legislation on gambling, licencing, trade;300;255;287;321;471;465;462;423;363;304;260;303;272;119
Region Syddanmark;Any other special legislation;8;5;5;6;0;8;2;7;5;1;2;1;1;4
Region Syddanmark;Special legislation, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Midtjylland;Nature of the offence, total;20583;20658;21061;22955;27363;27678;26554;27237;26299;27667;27034;29780;38134;33504
Region Midtjylland;Penal Code, total;14300;14052;14394;15031;15872;15743;14842;15793;14239;17148;17090;16996;17822;18934
Region Midtjylland;Penal code, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
