Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Region Hovedstaden;Non-molestation order (Repealed in 2012);181;153;178;213;267;23;1;0;0;0;0;0;0;0
Reported criminal offences;Region Hovedstaden;Invasion of privacy and defamation;250;232;249;316;289;303;405;478;358;537;591;674;1043;1269
Reported criminal offences;Region Hovedstaden;Special acts, total;27438;28374;25542;25975;28870;30557;39710;41387;37750;41104;39534;43956;47790;40301
Reported criminal offences;Region Hovedstaden;Euphoriants Act;8226;8896;7667;7213;8095;8674;10439;11988;11021;10282;10717;12689;14126;12705
Reported criminal offences;Region Hovedstaden;The Offensive Weapons Act;2812;3094;2456;1756;1934;2359;3190;3363;3137;3264;2831;4374;5604;4269
Reported criminal offences;Region Hovedstaden;Tax legislation and fiscal acts, etc.;435;614;649;785;779;1416;1599;1710;1333;1333;1244;1310;1287;1946
Reported criminal offences;Region Hovedstaden;Other special acts in criminal law;8397;7829;7985;8310;10486;10185;16799;17090;15454;17600;15973;17802;18519;14111
Reported criminal offences;Region Hovedstaden;Health and social security legislation;535;903;730;1039;925;810;782;861;860;923;930;779;755;1689
Reported criminal offences;Region Hovedstaden;Building and housing legislation;74;66;51;39;44;58;42;39;67;54;70;98;49;47
Reported criminal offences;Region Hovedstaden;The environmental protection act;1114;1234;1109;1157;1088;1136;867;1048;748;815;642;834;736;735
Reported criminal offences;Region Hovedstaden;Legislation on animals, hunting, etc.;883;1026;1068;1072;1130;1073;1009;907;880;908;837;1042;959;897
Reported criminal offences;Region Hovedstaden;Legislation on employment, transport, etc.;2240;2303;1976;2738;2558;2636;2350;2188;2094;2567;2733;2468;2908;2356
Reported criminal offences;Region Hovedstaden;The Companies Act;98;123;90;101;234;324;282;208;314;387;359;204;685;760
Reported criminal offences;Region Hovedstaden;Legislation on the national defence;403;329;312;499;280;533;1182;1017;954;2259;2416;1680;1306;276
Reported criminal offences;Region Hovedstaden;Legislation applying to public utilities;60;116;143;87;115;127;112;85;125;74;148;52;60;50
Reported criminal offences;Region Hovedstaden;Legislation on gambling, licencing, trade;2083;1772;1260;1146;1158;1192;1017;823;694;492;474;406;476;287
Reported criminal offences;Region Hovedstaden;Any other special legislation;78;69;46;33;44;34;40;60;69;146;160;218;320;173
Reported criminal offences;Region Hovedstaden;Special legislation, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Sjælland;Nature of the offence, total;64419;75670;76705;72703;71807;66757;67952;66553;63480;65721;62975;61445;57270;52608
Reported criminal offences;Region Sjælland;Penal Code, total;56751;67944;68873;63755;61415;56007;55312;51550;47089;51459;48235;42762;39658;37834
Reported criminal offences;Region Sjælland;Penal code, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Sjælland;Sexual offenses, total;376;383;318;435;408;378;404;546;440;530;755;934;833;896
Reported criminal offences;Region Sjælland;Incest, etc.;13;16;8;24;5;17;13;15;13;3;18;21;9;15
Reported criminal offences;Region Sjælland;Rape, etc.;69;78;66;75;75;47;59;65;81;106;149;200;165;175
Reported criminal offences;Region Sjælland;Heterosexual offence against a child under 12 (Repealed in 2013);26;31;27;43;22;29;6;0;0;0;0;0;0;0
Reported criminal offences;Region Sjælland;Sexual offence against a child under 12 (New from 2013);0;0;0;0;0;0;7;25;26;27;29;67;65;58
Reported criminal offences;Region Sjælland;Any other kind of heterosexual offence (Repealed in 2013);41;33;44;49;39;30;14;0;0;0;0;0;0;0
Reported criminal offences;Region Sjælland;Sexual offence against a child under 15 (New from 2013);0;0;0;0;0;0;27;41;44;25;27;39;60;66
Reported criminal offences;Region Sjælland;Any other kind of sexual offence (New from 2013);0;0;0;0;0;0;5;16;13;25;37;36;51;38
Reported criminal offences;Region Sjælland;Homosexual offence against a child under 12 (Repealed in 2013);4;1;1;0;2;0;1;0;0;0;0;0;0;0
Reported criminal offences;Region Sjælland;Any other kind of homosexual offence (Repealed in 2013);7;6;2;1;3;1;1;0;0;0;0;0;0;0
