;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;Sønderborg;89;95;127;99;118;134;122;97;74;43;80;62;58;68
;;Tønder;121;158;135;105;136;118;98;104;75;64;40;67;59;79
;;Varde;102;113;107;117;148;158;152;109;106;68;55;69;66;96
;;Vejen;67;86;88;92;110;122;109;111;70;72;47;142;249;329
;;Vejle;126;158;164;140;142;176;134;107;90;88;96;102;99;90
;;Aabenraa;150;188;196;181;203;171;117;111;96;95;86;175;104;186
;;Favrskov;58;61;71;58;61;50;51;39;34;13;23;28;28;34
;;Hedensted;87;84;73;83;76;68;68;58;48;52;51;54;48;52
;;Horsens;117;148;143;133;152;143;149;92;81;77;80;76;81;73
;;Norddjurs;70;72;94;58;82;74;38;50;40;48;40;38;48;63
;;Odder;17;15;12;19;16;8;12;9;7;10;7;12;13;20
;;Randers;118;118;169;150;125;89;63;68;48;71;68;56;73;108
;;Samsø;8;2;3;4;5;1;3;3;6;2;2;4;2;4
;;Silkeborg;85;97;93;102;92;85;68;66;63;49;63;35;55;64
;;Skanderborg;56;65;61;67;72;61;52;44;36;33;32;46;59;41
;;Syddjurs;49;51;56;48;74;66;59;50;44;55;39;40;50;50
;;Aarhus;145;156;111;129;108;115;131;108;130;112;128;129;177;131
;;Herning;148;131;102;119;91;87;78;64;78;81;91;90;78;117
;;Holstebro;89;112;102;89;119;89;120;77;74;63;39;57;39;79
;;Ikast-Brande;64;60;48;63;50;48;29;39;38;46;37;34;46;27
;;Lemvig;87;69;66;60;75;70;61;46;34;19;26;54;54;91
;;Ringkøbing-Skjern;123;126;117;104;103;113;64;65;66;42;58;77;71;78
;;Skive;96;76;61;87;79;54;49;33;30;36;49;59;50;51
;;Struer;38;37;54;28;34;33;23;23;14;23;11;19;23;21
;;Viborg;137;119;136;115;91;87;86;104;73;61;67;109;74;112
;;Brønderslev;76;56;69;86;96;80;74;58;49;51;59;69;62;61
;;Frederikshavn;109;128;125;134;154;116;91;75;94;71;100;96;108;118
;;Hjørring;172;149;141;147;181;127;143;99;81;65;91;83;96;114
;;Jammerbugt;95;89;78;94;107;82;77;59;36;61;46;75;69;72
;;Læsø;2;3;13;3;6;5;4;0;2;1;4;6;4;4
;;Mariagerfjord;66;93;110;114;100;102;84;79;57;54;46;61;65;59
;;Morsø;31;32;59;74;56;38;24;29;29;15;18;32;22;25
;;Rebild;40;58;58;75;63;50;46;50;36;31;28;43;40;68
;;Thisted;110;110;160;155;160;102;76;68;76;55;74;80;91;78
;;Vesthimmerlands;81;98;104;81;92;106;89;77;59;64;74;66;68;67
;;Aalborg;254;263;239;263;256;218;189;191;133;108;112;149;139;140
;;Unknown municipality;123;117;130;92;150;156;97;48;40;46;64;1518;485;674
;Legislation on employment, transport, etc.;Copenhagen;1269;1319;1124;1456;1584;1512;1234;1064;966;1330;1277;1057;1163;895
;;Frederiksberg;33;32;38;62;69;40;42;51;74;102;133;90;116;105
;;Dragør;6;3;4;0;7;23;2;5;13;14;14;9;9;11
;;Tårnby;49;92;52;161;80;199;70;89;86;165;144;121;108;75
;;Albertslund;25;22;12;35;27;15;31;22;32;38;46;46;78;69
;;Ballerup;36;25;29;22;25;29;38;29;35;31;45;47;44;43
;;Brøndby;20;44;21;36;34;56;55;30;36;39;42;47;60;55
;;Gentofte;34;49;50;106;108;72;117;97;62;69;93;86;118;96
;;Gladsaxe;26;31;20;36;42;37;41;27;28;51;48;49;57;57
;;Glostrup;27;13;20;19;21;14;33;31;26;20;37;25;36;40
;;Herlev;43;26;26;20;21;11;18;15;29;33;42;24;38;28
;;Hvidovre;54;42;50;25;60;45;85;104;102;59;60;66;151;72
;;Høje-Taastrup;44;41;22;31;37;40;54;57;123;80;71;101;177;112
;;Ishøj;21;25;25;22;20;24;27;40;32;36;38;27;70;58
;;Lyngby-Taarbæk;25;34;45;55;31;72;63;73;46;40;51;52;39;61
;;Rødovre;14;35;28;25;35;24;26;33;41;55;67;46;71;50
;;Vallensbæk;11;15;12;12;13;18;4;25;10;10;15;19;30;26
;;Allerød;17;26;16;23;10;8;14;11;15;19;14;20;19;20
;;Egedal;45;60;14;17;22;14;15;21;25;20;26;21;23;29
;;Fredensborg;27;16;16;16;19;11;45;18;22;19;36;38;23;29
;;Frederikssund;37;41;49;53;34;24;31;26;25;19;39;29;51;44
;;Furesø;36;19;15;21;16;16;23;18;18;21;24;30;27;21
;;Gribskov;24;20;17;28;28;26;28;38;30;37;33;44;56;42
;;Halsnæs;21;35;19;22;12;60;28;35;20;21;27;40;39;43
;;Helsingør;173;136;161;266;98;129;88;62;55;62;87;103;94;94
;;Hillerød;30;32;15;27;37;18;27;39;37;50;66;72;44;57
;;Hørsholm;33;24;40;69;19;22;24;28;13;23;24;34;30;30
;;Rudersdal;27;27;22;41;32;63;56;72;45;43;58;68;47;54
;;Bornholm;33;19;14;32;17;14;31;28;48;61;76;57;90;40
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;33;52;41;72;75;301;444;473;383;348;244;406;488;494
;;Køge;53;76;41;39;56;88;197;171;192;84;89;147;161;143
;;Lejre;14;11;19;23;22;18;30;21;21;13;19;27;47;32
;;Roskilde;64;37;60;45;76;65;91;102;86;129;117;76;179;124
;;Solrød;6;16;9;25;23;36;37;26;38;30;35;41;78;36
;;Faxe;28;35;32;24;42;33;14;21;36;17;27;40;59;35
;;Guldborgsund;42;48;31;31;55;89;75;94;56;46;58;81;90;60
;;Holbæk;48;25;37;46;53;55;51;56;49;56;62;64;103;160
;;Kalundborg;69;16;25;38;29;38;31;40;44;35;43;34;72;74
;;Lolland;75;21;38;40;55;43;34;50;33;46;62;43;115;46
;;Næstved;56;40;39;36;48;28;64;51;52;56;80;61;91;80
;;Odsherred;10;12;14;9;21;15;26;20;40;28;25;21;53;43
;;Ringsted;52;61;24;52;38;70;84;25;39;45;63;74;105;155
;;Slagelse;112;69;60;44;63;128;72;93;87;74;163;129;137;225
;;Sorø;14;13;23;18;40;13;32;36;28;28;18;32;37;65
;;Stevns;7;5;5;8;8;12;8;19;14;12;22;29;32;28
;;Vordingborg;10;56;32;30;41;37;80;27;41;40;45;48;87;88
;;Assens;23;52;24;36;44;154;90;91;80;73;46;87;78;55
;;Faaborg-Midtfyn;24;28;31;31;63;24;28;32;27;28;39;63;49;45
;;Kerteminde;13;6;14;18;22;39;42;27;25;11;22;25;29;24
;;Langeland;2;6;8;6;8;4;10;19;12;14;6;7;14;13
;;Middelfart;101;118;67;94;88;72;133;131;66;120;51;89;49;68
;;Nordfyns;16;14;10;9;11;18;13;8;15;23;26;81;70;19
;;Nyborg;62;8;17;18;71;52;26;41;32;52;25;62;56;76
;;Odense;90;51;64;137;155;192;300;219;146;132;167;215;211;214
;;Svendborg;39;20;17;32;31;17;81;30;50;50;43;34;48;354
;;Ærø;3;1;3;1;3;6;4;3;6;9;5;5;9;16
;;Billund;16;24;10;22;28;10;16;16;55;17;34;24;30;34
;;Esbjerg;84;104;133;80;89;77;88;112;82;115;68;101;74;83
;;Fanø;1;0;0;0;1;1;1;3;1;1;1;2;2;1
;;Fredericia;51;41;194;29;163;213;82;56;56;40;80;53;61;79
;;Haderslev;78;45;63;82;105;44;66;56;108;135;59;54;58;64
;;Kolding;51;182;46;60;249;178;287;168;186;162;139;163;129;163
;;Sønderborg;30;28;47;25;25;24;43;23;29;35;44;38;57;52
;;Tønder;26;144;29;117;60;26;20;29;41;35;29;31;35;32
;;Varde;21;24;18;17;28;17;33;16;19;28;46;36;36;67
;;Vejen;24;54;37;30;34;22;32;35;33;35;34;37;33;40
;;Vejle;57;90;205;91;494;92;178;124;118;113;147;294;227;147
;;Aabenraa;250;204;110;179;169;269;134;72;115;143;140;165;104;113
;;Favrskov;31;20;21;41;52;29;15;27;30;38;36;39;42;33
;;Hedensted;16;16;33;29;198;128;89;124;56;52;79;64;163;70
;;Horsens;33;75;71;151;76;108;142;63;63;53;91;67;77;87
;;Norddjurs;27;12;16;28;247;156;29;26;18;29;29;27;38;60
;;Odder;3;6;9;7;6;8;10;5;6;14;20;16;19;18
;;Randers;83;63;79;91;90;105;94;54;53;195;89;217;237;136
;;Samsø;3;2;2;1;6;5;10;6;3;5;5;8;4;4
;;Silkeborg;26;32;41;38;65;59;72;36;43;56;70;72;110;102
;;Skanderborg;25;69;45;21;75;31;204;61;38;56;77;78;115;86
;;Syddjurs;18;14;38;21;33;43;58;14;27;20;40;46;37;37
;;Aarhus;177;162;495;266;732;382;308;218;187;275;342;516;674;487
;;Herning;88;73;66;75;86;80;77;68;87;79;92;101;133;211
;;Holstebro;51;50;35;59;77;44;46;37;43;102;70;44;78;62
;;Ikast-Brande;41;23;60;87;154;32;65;22;24;32;32;45;69;63
;;Lemvig;5;6;13;16;13;13;13;7;12;15;25;21;29;22
;;Ringkøbing-Skjern;43;38;24;107;64;31;46;25;34;41;56;41;70;65
;;Skive;40;18;30;39;100;35;30;35;21;35;29;28;39;63
;;Struer;17;7;6;9;31;18;13;7;12;12;15;16;25;18
;;Viborg;67;58;122;108;75;32;94;54;71;77;79;88;96;115
;;Brønderslev;17;16;37;26;75;51;80;40;31;38;29;46;31;51
;;Frederikshavn;43;30;288;135;62;69;45;58;48;45;53;55;80;113
;;Hjørring;42;21;55;41;30;43;114;45;60;54;87;69;85;147
;;Jammerbugt;19;15;31;13;18;23;38;28;35;41;31;22;27;58
;;Læsø;1;0;2;0;8;0;1;4;1;2;4;2;3;0
;;Mariagerfjord;23;11;18;18;34;15;35;42;28;42;38;117;45;47
;;Morsø;18;9;29;26;22;31;10;24;8;21;15;22;22;28
;;Rebild;65;23;27;43;92;249;105;112;87;49;45;55;126;152
;;Thisted;42;54;180;20;63;33;44;19;30;43;38;34;51;50
;;Vesthimmerlands;13;19;13;22;12;24;23;30;30;26;33;36;46;51
;;Aalborg;98;107;212;136;171;135;240;227;213;233;286;279;353;292
;;Unknown municipality;898;920;1552;1556;3359;3506;3468;5806;6081;5612;5345;3262;3925;3404
;The Companies Act;Copenhagen;53;56;27;26;97;120;123;90;160;179;198;75;374;410
;;Frederiksberg;4;4;2;2;8;24;13;10;10;18;17;9;22;41
;;Dragør;3;4;2;2;1;1;0;0;2;3;1;1;4;3
;;Tårnby;0;6;0;1;6;2;6;6;2;5;5;5;12;13
;;Albertslund;2;1;3;4;4;9;4;2;5;7;3;2;2;7
;;Ballerup;2;2;1;6;2;4;0;0;5;6;3;1;5;2
;;Brøndby;2;1;1;4;4;13;8;2;2;1;4;2;5;15
;;Gentofte;4;7;9;9;24;23;22;21;24;44;36;28;41;57
;;Gladsaxe;4;8;5;4;4;7;5;2;9;6;7;3;6;3
;;Glostrup;1;0;0;4;4;1;3;0;2;5;2;1;40;5
;;Herlev;3;3;7;4;3;4;2;4;2;6;5;4;5;5
;;Hvidovre;2;1;0;4;4;3;10;2;7;8;2;4;4;7
;;Høje-Taastrup;1;3;5;4;5;7;5;1;6;3;4;5;6;6
;;Ishøj;1;0;5;0;2;6;3;1;1;0;1;0;1;1
;;Lyngby-Taarbæk;2;6;2;1;11;9;11;8;8;11;16;14;33;22
;;Rødovre;1;3;3;3;2;1;4;1;5;4;1;2;6;9
;;Vallensbæk;0;1;1;0;1;0;3;1;1;1;3;2;1;8
;;Allerød;0;0;0;2;0;4;4;2;4;1;6;1;5;8
;;Egedal;0;2;0;1;3;4;2;4;5;6;3;3;5;8
;;Fredensborg;2;1;3;4;2;9;5;3;5;6;2;3;7;3
;;Frederikssund;2;0;1;2;1;6;1;2;8;5;2;3;6;9
;;Furesø;0;3;3;2;9;6;7;12;5;8;9;3;7;9
;;Gribskov;1;0;0;6;5;3;5;8;3;8;1;4;6;10
;;Halsnæs;0;1;1;1;2;1;2;1;3;3;7;1;4;6
;;Helsingør;3;3;3;1;4;12;5;5;5;3;3;4;29;11
;;Hillerød;2;5;1;0;3;6;8;3;5;13;1;3;9;8
;;Hørsholm;2;1;1;0;2;15;3;3;5;3;2;1;4;9
;;Rudersdal;1;1;3;3;19;23;16;14;13;22;14;20;34;58
;;Bornholm;0;0;1;1;2;1;2;0;2;2;1;0;2;7
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;1;2;4;6;2;6;5;4;4;7;8;1;10;17
;;Køge;0;3;3;3;4;7;6;5;0;11;6;4;8;11
;;Lejre;1;0;1;1;0;2;1;1;2;6;4;0;4;6
;;Roskilde;3;4;9;4;5;6;12;4;3;9;8;7;15;23
;;Solrød;0;1;2;0;2;6;2;0;1;3;1;1;3;7
;;Faxe;1;0;1;2;5;4;2;0;3;2;1;0;4;5
;;Guldborgsund;1;0;1;0;13;2;0;2;3;6;2;1;2;3
;;Holbæk;2;3;4;5;6;8;12;3;9;8;7;8;11;22
;;Kalundborg;1;1;0;5;2;1;2;0;2;5;6;3;4;4
;;Lolland;2;0;0;0;6;1;7;3;0;5;3;4;1;3
;;Næstved;1;0;0;3;4;5;9;2;3;3;5;8;2;7
;;Odsherred;0;1;1;1;3;2;0;1;3;2;3;3;2;10
;;Ringsted;2;0;2;1;2;4;1;0;1;4;5;1;4;9
;;Slagelse;3;1;1;3;6;6;3;2;3;6;2;5;5;5
;;Sorø;1;1;2;0;0;4;3;2;1;5;0;0;3;2
;;Stevns;0;1;1;0;1;3;1;1;1;1;1;0;1;5
;;Vordingborg;0;0;2;1;3;3;3;2;4;2;2;5;3;4
;;Assens;0;0;0;4;2;3;2;2;1;1;0;1;2;4
;;Faaborg-Midtfyn;0;2;0;5;3;6;5;1;3;3;1;0;2;1
;;Kerteminde;0;1;1;2;1;2;5;3;0;0;0;1;1;1
;;Langeland;0;0;0;0;0;0;2;0;0;0;1;1;2;1
;;Middelfart;3;0;0;2;0;1;2;3;4;0;0;0;4;5
;;Nordfyns;0;0;1;0;1;3;2;2;0;3;1;0;2;12
;;Nyborg;2;0;2;1;1;0;0;2;1;3;1;1;1;4
;;Odense;5;0;8;10;9;8;8;5;10;8;7;3;13;78
;;Svendborg;7;4;1;1;0;3;1;1;2;2;0;3;3;7
;;Ærø;0;0;0;0;0;4;0;0;0;1;0;0;0;0
;;Billund;1;0;0;2;2;1;1;1;3;3;1;0;0;3
;;Esbjerg;0;2;7;2;6;5;19;5;6;13;3;5;11;10
;;Fanø;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;Fredericia;1;0;1;1;0;7;0;1;1;4;1;3;8;6
;;Haderslev;0;1;2;5;11;10;2;2;8;4;2;1;10;8
;;Kolding;0;0;8;2;3;7;6;9;6;8;2;3;8;23
;;Sønderborg;0;1;10;3;8;2;5;0;3;3;0;2;3;6
;;Tønder;0;0;1;4;0;0;1;1;4;2;2;0;2;1
;;Varde;1;0;2;3;2;13;4;2;4;2;1;0;4;6
;;Vejen;1;0;1;2;2;2;4;1;2;3;3;0;5;5
;;Vejle;1;1;2;1;4;13;15;1;10;10;6;8;11;35
;;Aabenraa;0;0;3;1;5;3;1;2;4;3;2;1;4;3
;;Favrskov;2;1;0;0;1;7;0;0;0;2;2;6;3;8
;;Hedensted;1;2;2;0;2;14;3;2;3;8;1;1;9;5
;;Horsens;0;1;2;3;5;9;4;4;4;7;5;7;10;19
;;Norddjurs;1;0;1;0;0;4;2;0;1;1;0;2;1;9
;;Odder;1;0;1;0;0;3;3;1;1;0;0;0;2;2
;;Randers;1;1;0;3;2;11;4;1;3;5;0;2;5;12
;;Samsø;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;Silkeborg;0;1;1;1;3;1;3;1;2;3;304;3;8;12
;;Skanderborg;0;1;1;5;2;11;2;4;6;1;3;1;6;8
;;Syddjurs;1;1;3;2;2;3;2;1;4;6;1;3;1;2
;;Aarhus;9;8;26;8;17;53;24;17;6;24;2;14;53;63
;;Herning;0;2;2;1;1;3;5;1;2;3;2;3;3;6
;;Holstebro;0;0;4;0;1;4;2;1;4;4;1;1;2;3
;;Ikast-Brande;0;0;0;2;0;0;3;1;3;1;2;1;30;3
;;Lemvig;0;0;1;0;0;2;1;0;0;0;0;0;1;0
;;Ringkøbing-Skjern;1;0;1;2;1;2;1;1;3;5;0;0;4;2
;;Skive;0;2;3;1;7;1;2;2;1;2;2;0;1;1
;;Struer;0;1;1;0;2;0;2;0;0;0;11;0;15;2
;;Viborg;3;3;4;1;3;2;5;6;3;3;5;6;8;7
;;Brønderslev;3;1;4;3;1;4;2;4;4;2;14;1;2;5
;;Frederikshavn;0;2;1;3;3;4;2;3;0;2;1;3;5;8
;;Hjørring;1;0;4;2;3;5;8;2;9;7;0;3;6;7
;;Jammerbugt;0;0;5;1;0;0;3;1;2;2;3;0;5;1
;;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Mariagerfjord;0;0;0;0;1;9;1;0;0;4;2;1;1;5
;;Morsø;0;0;0;0;1;2;0;0;0;1;0;1;0;4
;;Rebild;0;1;0;0;0;7;2;3;0;1;1;0;2;1
;;Thisted;0;1;1;1;1;1;0;1;1;1;4;8;3;1
;;Vesthimmerlands;1;0;1;0;2;0;1;0;4;1;1;0;0;2
;;Aalborg;7;4;2;12;11;23;21;16;20;22;9;13;20;42
;;Unknown municipality;19;7;15;9;4;13;31;9;11;18;29;23;90;212
;Legislation on the national defence;Copenhagen;119;118;129;197;111;214;462;161;0;7;0;0;0;4
;;Frederiksberg;11;27;17;27;20;27;56;25;0;1;0;0;0;0
;;Dragør;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Tårnby;3;0;0;0;0;0;1;2;0;0;4;0;0;0
;;Albertslund;6;6;11;4;2;10;29;29;20;35;47;41;24;10
;;Ballerup;69;37;16;45;14;30;40;93;37;62;76;52;34;4
;;Brøndby;13;0;0;4;2;2;22;21;29;43;59;31;23;4
;;Gentofte;4;5;7;10;4;3;21;38;40;116;109;82;52;13
;;Gladsaxe;4;16;8;27;8;24;38;35;39;96;121;73;49;15
;;Glostrup;9;0;1;0;0;1;17;16;10;22;20;18;16;3
;;Herlev;6;10;5;11;9;5;15;10;21;32;44;26;22;2
;;Hvidovre;5;4;8;1;1;10;27;43;37;67;68;39;48;9
;;Høje-Taastrup;15;12;15;7;1;4;24;24;33;59;63;39;35;8
;;Ishøj;9;3;10;13;1;4;16;15;22;41;50;26;36;7
;;Lyngby-Taarbæk;1;3;3;6;6;4;15;13;27;69;48;38;34;8
;;Rødovre;1;3;2;2;1;4;40;27;16;56;62;37;27;6
;;Vallensbæk;2;1;0;1;1;0;7;9;5;20;19;18;9;0
;;Allerød;51;21;23;74;26;76;177;256;374;973;1045;755;609;129
;;Egedal;1;2;6;0;0;1;12;10;9;47;40;27;26;1
;;Fredensborg;4;1;1;3;5;8;22;27;16;60;68;36;16;6
;;Frederikssund;4;5;10;3;0;7;20;18;26;47;54;39;33;2
;;Furesø;28;28;14;19;23;39;16;15;21;54;39;22;27;5
;;Gribskov;1;6;2;9;13;12;18;15;25;44;40;38;36;12
;;Halsnæs;5;4;1;1;0;2;11;8;17;29;40;23;19;1
;;Helsingør;9;1;4;12;11;21;34;51;51;111;92;73;33;9
;;Hillerød;9;3;2;9;13;11;16;20;27;42;60;58;38;6
;;Hørsholm;0;1;2;3;3;5;5;5;13;38;31;17;11;0
;;Rudersdal;11;11;10;8;2;2;9;21;27;68;84;52;36;12
;;Bornholm;2;1;5;3;3;7;12;10;12;20;33;20;13;0
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;8;1;13;13;11;6;31;37;40;68;70;42;25;6
;;Køge;9;9;10;7;10;10;4;15;32;81;88;33;47;10
;;Lejre;8;4;2;1;0;1;2;9;11;26;31;17;13;3
;;Roskilde;21;12;12;16;8;32;59;54;42;102;106;38;68;8
;;Solrød;1;0;4;4;1;3;11;10;8;23;13;25;17;1
;;Faxe;1;0;1;1;0;2;0;0;0;1;1;0;0;0
;;Guldborgsund;0;2;0;2;0;0;0;0;0;1;0;0;0;0
;;Holbæk;20;17;19;8;5;15;36;30;33;97;69;44;42;9
;;Kalundborg;3;0;8;2;1;1;4;30;21;57;61;38;35;9
;;Lolland;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;Næstved;8;5;6;12;10;8;0;8;1;2;3;1;0;0
;;Odsherred;17;13;13;6;1;5;17;12;16;37;24;27;22;3
;;Ringsted;7;2;8;5;4;6;10;13;13;49;39;23;15;1
;;Slagelse;100;107;140;110;63;139;241;184;212;435;485;319;316;61
;;Sorø;1;1;1;2;2;7;8;1;0;0;0;0;0;0
;;Stevns;2;1;2;4;2;2;1;6;13;17;17;14;19;2
;;Vordingborg;0;2;0;0;0;0;3;2;1;0;0;0;0;0
;;Assens;6;7;9;4;1;1;10;5;0;0;0;0;17;5
;;Faaborg-Midtfyn;5;9;11;4;1;2;1;1;2;0;0;0;14;4
;;Kerteminde;0;0;0;0;0;0;2;0;0;0;0;0;8;1
;;Langeland;0;1;0;0;0;0;0;0;0;1;0;0;13;3
;;Middelfart;0;2;1;2;0;1;2;1;0;0;0;0;22;8
;;Nordfyns;0;1;0;0;1;0;0;1;0;0;0;0;25;8
;;Nyborg;2;3;5;3;0;4;1;1;0;1;0;0;8;4
;;Odense;3;0;2;3;2;5;4;6;3;4;0;0;117;14
;;Svendborg;9;5;0;0;0;0;0;1;2;1;0;0;42;10
;;Ærø;2;0;1;0;0;1;0;0;1;0;0;0;4;2
;;Billund;1;2;1;0;0;4;5;0;0;0;0;1;1;0
;;Esbjerg;5;10;27;25;25;46;98;99;64;117;137;99;62;19
;;Fanø;0;1;0;0;0;1;0;0;3;1;5;3;0;0
;;Fredericia;100;114;162;86;72;170;417;395;370;834;923;524;139;46
;;Haderslev;5;11;15;3;8;14;19;25;25;45;60;42;36;8
;;Kolding;0;6;10;10;1;15;12;4;0;0;0;0;0;0
;;Sønderborg;3;4;11;22;6;25;31;30;36;62;83;54;61;6
;;Tønder;21;0;9;11;4;10;13;15;20;30;41;26;18;6
;;Varde;3;3;6;5;5;12;31;24;24;49;67;33;26;8
;;Vejen;8;5;7;1;3;11;20;20;11;36;38;30;30;4
;;Vejle;21;15;2;7;6;16;14;5;0;0;0;0;0;0
;;Aabenraa;10;6;21;11;4;11;28;21;22;52;56;38;38;19
;;Favrskov;0;0;1;1;0;0;0;0;0;0;0;0;4;3
;;Hedensted;1;2;6;1;3;2;4;0;0;0;0;0;0;0
;;Horsens;2;12;20;10;4;31;12;4;1;2;0;1;0;0
;;Norddjurs;4;2;0;0;0;0;2;0;0;0;1;1;16;9
;;Odder;0;1;0;0;0;0;0;0;0;0;0;0;5;1
;;Randers;4;3;3;1;2;0;2;0;1;0;0;0;24;10
;;Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;Silkeborg;10;0;3;4;10;15;34;40;37;80;64;16;3;2
;;Skanderborg;6;5;1;3;0;0;6;3;0;0;0;0;0;0
;;Syddjurs;2;1;1;0;1;0;0;0;2;0;0;0;23;5
;;Aarhus;30;9;12;11;2;3;1;4;11;0;1;0;135;42
;;Herning;108;97;131;128;66;135;333;300;297;660;741;575;359;100
;;Holstebro;5;7;5;5;5;12;7;2;3;11;0;1;0;0
;;Ikast-Brande;0;0;0;1;0;0;0;0;0;6;1;1;2;0
;;Lemvig;0;1;0;1;1;0;1;0;1;0;0;0;0;0
;;Ringkøbing-Skjern;7;4;4;2;1;0;3;3;16;28;49;25;2;1
;;Skive;8;1;6;1;2;1;2;11;3;1;1;0;2;0
;;Struer;1;5;2;2;1;3;1;1;1;2;0;0;0;0
;;Viborg;3;1;2;0;0;0;0;1;11;5;0;5;3;0
;;Brønderslev;5;1;2;2;1;0;0;1;4;1;0;0;0;0
;;Frederikshavn;1;1;2;7;1;1;0;0;11;1;3;0;0;0
;;Hjørring;3;3;4;2;6;6;18;2;5;5;2;0;0;0
;;Jammerbugt;1;1;1;1;0;3;6;0;5;3;1;0;1;0
;;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Mariagerfjord;5;1;1;2;3;12;14;0;0;3;1;0;0;0
;;Morsø;1;0;0;0;0;0;0;1;0;5;3;6;1;0
;;Rebild;4;2;0;0;5;3;7;2;3;0;0;0;0;0
;;Thisted;4;7;4;3;7;0;0;1;0;5;4;6;3;0
;;Vesthimmerlands;11;0;0;0;4;10;15;1;3;3;1;0;0;0
;;Aalborg;173;123;196;125;119;288;512;552;489;1062;1216;732;428;80
;;Unknown municipality;230;136;150;94;35;76;98;79;52;32;17;9;22;3
;Legislation applying to public utilities;Copenhagen;22;46;56;46;41;52;34;40;65;36;62;23;47;27
;;Frederiksberg;1;0;2;5;8;3;4;1;4;6;8;3;3;0
;;Dragør;0;0;4;1;0;0;0;0;0;0;0;0;0;0
;;Tårnby;5;14;10;8;3;11;7;3;8;4;4;3;1;1
;;Albertslund;0;6;1;1;3;1;5;3;1;0;3;0;0;0
;;Ballerup;2;1;6;2;4;3;1;3;4;2;7;0;1;1
;;Brøndby;0;2;2;2;1;1;1;0;2;2;4;0;1;2
;;Gentofte;1;2;6;1;3;4;5;2;1;1;0;2;0;5
;;Gladsaxe;3;5;7;1;3;5;6;4;5;0;6;2;0;0
;;Glostrup;1;3;3;1;1;0;1;2;2;0;0;0;0;0
;;Herlev;0;2;4;2;3;2;3;3;4;0;1;0;2;1
;;Hvidovre;1;4;5;2;7;9;4;10;3;1;20;3;0;1
;;Høje-Taastrup;0;0;4;1;4;3;5;1;7;4;5;1;0;0
;;Ishøj;1;2;3;0;0;5;2;1;3;0;6;0;0;1
;;Lyngby-Taarbæk;1;4;2;0;4;3;6;0;2;4;1;1;2;1
;;Rødovre;2;11;2;0;1;3;1;1;3;7;3;1;0;1
;;Vallensbæk;0;1;1;0;0;0;0;1;0;0;1;2;0;0
;;Allerød;0;0;1;0;0;1;0;0;0;0;1;0;0;0
;;Egedal;3;2;7;0;6;3;2;1;0;0;1;2;0;0
;;Fredensborg;2;0;1;0;1;1;0;1;1;0;1;1;0;2
;;Frederikssund;1;1;3;0;4;1;3;0;0;0;1;3;0;0
;;Furesø;1;2;0;1;2;1;0;1;1;0;1;0;1;0
;;Gribskov;0;3;3;1;4;6;5;2;3;0;3;2;0;0
;;Halsnæs;0;0;1;1;1;3;5;3;0;2;3;0;0;0
;;Helsingør;0;1;1;2;4;1;2;0;2;1;0;0;1;1
;;Hillerød;1;1;3;0;0;1;6;0;1;1;2;0;0;1
;;Hørsholm;1;0;0;1;3;0;0;0;1;0;1;0;0;1
;;Rudersdal;7;2;1;2;1;2;1;1;1;3;3;3;1;2
;;Bornholm;4;1;4;6;3;2;3;1;1;0;0;0;0;2
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;4;0;5;1;2;2;4;4;0;0;1;0;0;2
;;Køge;0;1;3;2;5;5;0;3;1;1;2;0;1;0
;;Lejre;0;3;2;1;2;1;2;0;0;0;0;0;0;1
;;Roskilde;0;2;3;0;7;2;5;3;1;1;1;4;2;0
;;Solrød;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;Faxe;2;0;2;1;1;1;3;5;6;1;3;0;0;0
;;Guldborgsund;0;1;6;2;7;0;2;3;2;1;2;0;2;0
;;Holbæk;0;4;7;2;3;1;9;2;2;3;0;1;1;0
;;Kalundborg;3;2;3;1;3;0;0;1;1;0;0;0;1;0
;;Lolland;1;2;5;4;3;0;0;2;0;1;4;0;1;0
;;Næstved;5;2;11;9;15;3;9;9;21;1;0;3;0;1
;;Odsherred;3;1;5;0;1;2;2;2;0;1;2;1;2;0
;;Ringsted;2;1;0;0;1;0;0;5;0;0;0;1;0;0
;;Slagelse;3;0;3;1;3;3;2;4;1;2;7;1;0;2
;;Sorø;0;1;2;0;2;1;1;2;0;1;1;2;2;0
;;Stevns;1;1;1;1;1;1;3;0;1;0;0;0;0;0
