;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;Halsnæs;2045;2271;2240;2266;2317;2376;2122;2031;1495;1784;2144;1442;1543;1321
;;Helsingør;5978;6564;6502;5890;5519;5310;5703;4809;4349;4266;4536;3492;3495;3141
;;Hillerød;3063;3360;3455;3480;5344;3573;3396;3286;3154;3492;3140;2974;2788;2454
;;Hørsholm;1520;1506;1668;1656;1567;1540;1522;1606;1710;1699;1572;1705;1347;1006
;;Rudersdal;3054;3099;4015;3536;3852;3774;3012;3517;3588;3678;3491;3183;2966;2432
;;Bornholm;1846;2026;1753;1547;1220;1352;1437;1246;1184;1185;1138;1008;967;910
;;Christiansø;0;0;0;0;0;0;0;0;1;0;1;0;0;0
;;Greve;3706;5219;5433;4957;4365;3924;3796;3403;2888;3082;2922;2576;2344;2222
;;Køge;4103;5405;5934;5502;5228;4782;4558;4120;3398;3888;3677;2930;2837;3122
;;Lejre;1110;1489;1500;1409;1212;1237;1161;1139;868;920;938;1289;699;666
;;Roskilde;6756;8157;8322;7636;7942;7395;7282;6323;6854;6331;6453;5715;4965;3790
;;Solrød;1168;1669;1671;1903;1317;1345;1343;1097;1059;963;1057;969;934;799
;;Faxe;2000;2624;2537;2454;2273;1890;2039;1934;1844;2050;1533;1370;1200;1302
;;Guldborgsund;4737;4898;5130;4312;4141;3843;4293;3804;3622;4052;3575;3239;3607;3407
;;Holbæk;4576;5636;5465;4858;4624;4416;4815;3949;3296;3446;3564;3083;2938;3834
;;Kalundborg;3410;4339;4095;3564;3425;3171;3083;2800;2272;2351;2366;2177;2015;1656
;;Lolland;3264;4046;4334;3694;3499;2924;3145;2830;2656;4053;2823;2800;3028;2191
;;Næstved;5278;6160;5880;5387;5497;4942;4827;4820;4451;5070;4501;4111;3623;3263
;;Odsherred;2068;2252;2850;2531;2759;2410;2227;2152;1665;1841;2231;1950;1757;1716
;;Ringsted;2559;2748;2870;2668;2334;2318;1971;2094;2275;1955;1994;1733;1511;1591
;;Slagelse;6377;6784;6716;6524;6758;6325;5904;5923;5120;5907;5308;4686;4560;4833
;;Sorø;1668;1825;1855;2274;1874;1679;1675;1890;1602;1974;1856;1421;1240;1118
;;Stevns;787;930;887;1016;790;829;842;724;645;661;661;670;532;585
;;Vordingborg;3184;3763;3394;3066;3377;2577;2351;2548;2574;2915;2776;2043;1868;1739
;;Assens;2154;2515;2736;2559;2152;2024;1913;1699;1447;1542;1264;1375;1550;1883
;;Faaborg-Midtfyn;2058;2619;2870;2736;2861;2591;2029;2339;1886;1680;1821;1759;1539;1740
;;Kerteminde;1224;1279;1500;1321;1164;1223;1153;1025;979;779;787;843;829;828
;;Langeland;584;750;873;719;621;708;504;473;417;453;465;461;431;421
;;Middelfart;2534;2804;2858;2785;2770;2391;2109;2155;1612;1778;2044;1674;1748;1709
;;Nordfyns;1516;1842;2181;1826;1746;1533;1148;1257;999;1159;962;1196;981;1070
;;Nyborg;2046;2515;2811;2447;2457;2439;1918;1945;1761;1618;1802;1548;1588;1403
;;Odense;20985;21551;21967;20828;20041;18051;17387;16016;14720;14239;13527;12604;13135;12685
;;Svendborg;3264;3925;3951;3864;3481;3233;3029;2631;2333;2221;2805;2422;2299;2163
;;Ærø;213;185;170;143;130;152;179;120;97;115;146;133;110;104
;;Billund;1485;1828;2217;2261;1979;2033;1755;1572;1444;1261;1316;1351;1267;975
;;Esbjerg;8949;9722;9194;9702;9343;8046;7402;7500;6726;6887;6693;6602;6354;5950
;;Fanø;243;157;151;152;124;144;142;144;116;106;138;176;129;122
;;Fredericia;4652;5274;5087;5346;4797;4031;4594;4144;3772;3480;3325;3197;3305;2515
;;Haderslev;4510;4979;4598;3990;3710;3554;3421;3697;3073;3531;2764;2427;2224;2015
;;Kolding;8290;8834;9007;7686;7535;6499;6339;6756;6459;5642;6219;5803;4883;4093
;;Sønderborg;4952;5485;5634;5471;5199;4235;4316;4229;3286;3749;3640;3431;2889;2483
;;Tønder;2585;2425;2541;2266;2476;2176;2100;2046;1723;1562;1533;1721;2155;1333
;;Varde;2887;3112;3235;3369;3195;2703;2430;2395;2166;2027;2173;2275;2133;1634
;;Vejen;2980;2890;2926;3259;2666;2410;2828;1892;1716;1616;1572;1489;1348;1169
;;Vejle;7707;8667;9329;8708;8938;7435;7052;6376;6285;5804;6021;5981;5507;4281
;;Aabenraa;4918;5157;5106;4652;4650;3935;3722;3996;3099;3234;3132;2876;2633;2576
;;Favrskov;2319;2350;2122;2363;2213;2132;2053;1834;1699;1659;2765;1540;1480;1453
;;Hedensted;2119;2297;2532;2301;2404;2095;1841;1595;1478;1527;1610;1593;1399;1262
;;Horsens;6082;6727;6875;6444;6605;5351;5230;4652;4425;4158;4783;4458;3957;3467
;;Norddjurs;3043;3057;2929;2516;2265;1969;2000;1804;1732;2001;1455;1534;1511;1489
;;Odder;1029;1083;1227;1150;1099;1123;924;911;743;749;851;715;616;580
;;Randers;7192;7627;8235;7493;7167;6314;6419;5886;5811;6511;5441;4583;5155;5057
;;Samsø;180;163;113;166;142;138;113;107;101;114;71;105;88;87
;;Silkeborg;5411;5872;5696;5798;5281;5258;4474;4108;3663;3480;4001;3925;3264;3203
;;Skanderborg;3292;3229;3723;3382;3583;3484;3155;3040;2619;2540;2827;2260;2098;1545
;;Syddjurs;2380;2693;2932;2751;2512;2265;2326;2037;1823;1707;2023;1585;1397;1497
;;Aarhus;33447;33067;32673;33181;35074;34352;33409;31549;27635;27891;26564;25259;22103;21316
;;Herning;4662;5405;5836;5163;4895;4765;4351;3782;3916;4105;4083;4397;3832;3749
;;Holstebro;3567;3779;3572;3313;3098;3116;2830;2599;2536;2249;3414;2959;2710;2244
;;Ikast-Brande;2114;2410;2270;2611;2321;2244;1812;1665;1334;1653;1856;1616;1614;1574
;;Lemvig;812;726;648;679;648;682;521;463;455;417;440;469;439;468
;;Ringkøbing-Skjern;3045;3178;3133;3176;2756;2618;2408;2179;1885;1956;2108;1778;1439;1482
;;Skive;2605;2836;3068;2590;2619;2248;2257;1919;1921;1716;1727;1672;1712;1519
;;Struer;944;1243;1145;928;914;921;846;835;777;772;776;673;912;709
;;Viborg;5219;5152;5437;5510;4838;4296;4237;4158;3914;3947;3897;5407;3389;3351
;;Brønderslev;2150;1921;1780;1924;1973;1601;1639;1516;1208;1259;1339;1321;1098;981
;;Frederikshavn;4295;4623;5056;4241;4421;3312;3268;2558;2943;3137;3302;3616;2473;2029
;;Hjørring;4552;4364;4404;3849;3814;3065;3006;2611;3173;3171;3461;2592;2288;1769
;;Jammerbugt;2067;2331;2592;2302;2295;2154;1909;1501;1604;1505;1388;1395;1219;1144
;;Læsø;28;12;30;45;36;32;49;48;40;18;16;43;31;31
