Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Any other kind of homosexual offence (Repealed in 2013);Haderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Kolding;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Sønderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Tønder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Varde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Vejen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Vejle;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Aabenraa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Favrskov;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Hedensted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Horsens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Norddjurs;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Odder;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Randers;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Silkeborg;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Skanderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Syddjurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Aarhus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Herning;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Holstebro;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Ikast-Brande;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Lemvig;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Ringkøbing-Skjern;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Skive;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Struer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Viborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Brønderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Frederikshavn;3;0;1;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Hjørring;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Jammerbugt;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Mariagerfjord;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Morsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Rebild;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Thisted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Vesthimmerlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Aalborg;2;0;0;2;0;1;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Unknown municipality;1;0;0;0;1;1;0;0;0;0;0;0;0;0
Offence against public decency by groping;Copenhagen;16;30;23;19;28;27;32;16;32;23;37;46;59;99
Offence against public decency by groping;Frederiksberg;1;5;3;2;3;1;0;3;9;3;1;8;4;5
Offence against public decency by groping;Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Offence against public decency by groping;Tårnby;0;5;1;2;0;1;2;2;1;2;2;4;3;5
Offence against public decency by groping;Albertslund;3;1;2;3;1;1;2;0;1;0;1;1;0;2
Offence against public decency by groping;Ballerup;6;0;2;1;1;4;4;1;2;4;1;5;5;3
Offence against public decency by groping;Brøndby;7;0;1;1;2;6;2;1;1;5;12;5;13;3
Offence against public decency by groping;Gentofte;1;1;0;0;1;0;2;2;1;0;11;5;2;5
Offence against public decency by groping;Gladsaxe;1;1;1;5;6;1;2;1;2;8;4;4;2;0
Offence against public decency by groping;Glostrup;0;0;2;4;1;5;1;0;0;0;2;3;3;3
Offence against public decency by groping;Herlev;2;0;2;3;1;2;10;3;0;1;2;1;3;0
Offence against public decency by groping;Hvidovre;2;4;0;4;4;0;1;1;1;3;2;6;3;11
Offence against public decency by groping;Høje-Taastrup;4;0;5;4;4;4;2;7;6;2;2;2;1;5
Offence against public decency by groping;Ishøj;6;1;3;0;1;1;2;0;0;0;0;0;1;2
Offence against public decency by groping;Lyngby-Taarbæk;1;0;4;0;2;1;5;0;0;0;9;1;2;3
Offence against public decency by groping;Rødovre;1;1;0;5;2;0;2;3;1;1;7;3;2;1
Offence against public decency by groping;Vallensbæk;0;0;0;0;3;0;0;0;3;0;1;0;1;1
Offence against public decency by groping;Allerød;3;2;1;0;0;2;1;0;0;3;1;7;2;1
Offence against public decency by groping;Egedal;1;4;0;1;3;2;0;2;2;2;1;3;1;0
Offence against public decency by groping;Fredensborg;1;0;5;2;6;0;1;1;0;2;0;1;0;3
Offence against public decency by groping;Frederikssund;5;5;2;1;6;8;0;2;0;1;0;1;2;4
Offence against public decency by groping;Furesø;1;0;0;0;1;2;0;2;2;1;2;3;3;2
Offence against public decency by groping;Gribskov;4;0;3;1;1;5;3;2;2;2;1;3;10;4
Offence against public decency by groping;Halsnæs;5;5;3;2;4;2;0;1;0;2;7;1;2;1
Offence against public decency by groping;Helsingør;5;1;9;3;2;4;4;1;3;5;8;3;6;5
Offence against public decency by groping;Hillerød;2;0;2;9;2;4;0;2;1;1;7;5;4;7
Offence against public decency by groping;Hørsholm;0;0;3;0;0;0;1;0;0;1;1;2;0;0
Offence against public decency by groping;Rudersdal;0;2;0;0;1;4;4;4;1;4;17;0;4;1
Offence against public decency by groping;Bornholm;0;7;1;2;1;3;1;3;8;3;4;2;2;9
Offence against public decency by groping;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offence against public decency by groping;Greve;0;5;1;4;5;4;1;0;2;5;5;6;2;4
Offence against public decency by groping;Køge;1;4;1;1;2;13;4;2;1;2;3;3;6;4
Offence against public decency by groping;Lejre;1;0;3;3;1;0;0;1;1;2;4;1;2;1
Offence against public decency by groping;Roskilde;1;2;3;1;4;0;1;1;3;7;7;8;9;5
Offence against public decency by groping;Solrød;0;0;1;0;1;1;0;0;0;0;0;0;0;1
Offence against public decency by groping;Faxe;1;4;0;0;1;1;1;4;1;4;0;13;4;3
Offence against public decency by groping;Guldborgsund;8;6;2;13;2;3;2;2;5;8;6;7;4;9
Offence against public decency by groping;Holbæk;4;2;6;6;2;15;7;4;5;6;5;10;4;7
Offence against public decency by groping;Kalundborg;1;3;2;5;12;2;3;4;1;2;3;1;6;1
Offence against public decency by groping;Lolland;3;0;3;8;9;2;4;5;5;6;9;10;9;8
Offence against public decency by groping;Næstved;5;3;1;6;4;2;5;8;2;6;6;5;7;14
Offence against public decency by groping;Odsherred;1;1;0;4;1;2;1;3;1;9;3;3;4;2
Offence against public decency by groping;Ringsted;1;0;1;2;1;0;3;4;1;2;3;3;3;3
Offence against public decency by groping;Slagelse;0;4;3;3;4;6;11;3;4;11;8;9;7;7
Offence against public decency by groping;Sorø;1;1;5;4;1;2;1;1;2;1;6;1;13;11
Offence against public decency by groping;Stevns;0;2;1;1;1;0;0;1;4;0;0;1;2;2
Offence against public decency by groping;Vordingborg;3;0;2;7;5;2;1;4;1;2;3;16;2;9
Offence against public decency by groping;Assens;2;6;4;1;3;3;1;2;0;2;2;14;8;2
Offence against public decency by groping;Faaborg-Midtfyn;2;6;3;8;3;0;1;10;3;3;1;4;7;2
Offence against public decency by groping;Kerteminde;1;2;1;4;1;0;0;0;3;0;0;2;0;3
Offence against public decency by groping;Langeland;7;0;1;1;1;0;0;2;3;1;1;0;0;0
Offence against public decency by groping;Middelfart;0;2;0;2;1;1;0;0;1;1;2;10;3;5
Offence against public decency by groping;Nordfyns;0;2;0;5;0;4;4;2;0;1;1;1;1;4
Offence against public decency by groping;Nyborg;3;2;2;1;2;3;3;4;3;0;1;0;3;1
Offence against public decency by groping;Odense;15;3;15;9;10;7;13;23;15;30;24;12;13;20
Offence against public decency by groping;Svendborg;2;3;4;3;6;8;2;3;1;5;6;4;3;4
Offence against public decency by groping;Ærø;0;0;0;0;2;0;0;0;1;0;0;0;0;0
Offence against public decency by groping;Billund;0;1;5;2;6;8;0;1;1;0;1;2;4;1
Offence against public decency by groping;Esbjerg;14;16;5;15;6;16;9;11;18;21;7;10;16;12
Offence against public decency by groping;Fanø;0;0;0;0;0;0;0;0;0;4;0;0;0;0
Offence against public decency by groping;Fredericia;2;3;5;7;2;0;0;5;10;2;6;6;5;7
Offence against public decency by groping;Haderslev;3;4;3;2;2;8;1;4;3;6;7;4;6;5
Offence against public decency by groping;Kolding;5;4;2;4;2;5;3;13;6;1;3;14;6;6
Offence against public decency by groping;Sønderborg;6;1;4;4;6;8;9;6;5;10;6;6;11;2
Offence against public decency by groping;Tønder;1;4;1;2;3;3;6;4;4;2;4;2;5;6
Offence against public decency by groping;Varde;0;9;5;3;3;4;2;1;5;4;5;4;9;1
Offence against public decency by groping;Vejen;4;1;12;0;1;6;0;3;9;4;3;3;5;4
Offence against public decency by groping;Vejle;3;4;4;3;10;9;5;10;8;10;3;2;9;9
Offence against public decency by groping;Aabenraa;12;4;4;3;7;2;5;10;2;9;5;6;4;9
Offence against public decency by groping;Favrskov;1;2;1;2;3;1;2;2;0;2;0;1;7;24
Offence against public decency by groping;Hedensted;3;3;2;2;4;3;2;7;1;25;2;5;1;3
Offence against public decency by groping;Horsens;3;6;1;1;10;2;0;5;8;4;6;7;7;2
Offence against public decency by groping;Norddjurs;3;3;2;1;3;9;9;2;3;3;5;2;2;4
Offence against public decency by groping;Odder;0;2;0;0;2;0;1;1;0;1;0;0;0;3
Offence against public decency by groping;Randers;3;3;1;132;29;6;17;17;10;2;2;5;6;18
Offence against public decency by groping;Samsø;0;1;1;1;0;0;0;0;0;0;0;0;0;0
Offence against public decency by groping;Silkeborg;2;7;2;2;18;9;6;0;3;3;8;11;11;6
Offence against public decency by groping;Skanderborg;3;2;2;6;3;2;1;3;0;2;2;6;4;2
Offence against public decency by groping;Syddjurs;6;2;2;1;2;4;3;0;2;1;1;1;2;5
Offence against public decency by groping;Aarhus;22;13;11;15;12;9;25;18;11;14;28;16;21;28
Offence against public decency by groping;Herning;5;0;0;3;3;19;9;6;1;2;2;9;5;7
Offence against public decency by groping;Holstebro;1;3;3;2;1;3;3;8;3;2;22;8;12;4
Offence against public decency by groping;Ikast-Brande;1;3;0;4;10;3;0;6;1;5;1;6;3;3
Offence against public decency by groping;Lemvig;0;0;2;0;0;1;0;0;0;1;1;1;3;0
Offence against public decency by groping;Ringkøbing-Skjern;5;2;2;4;1;1;5;1;5;2;2;2;4;8
Offence against public decency by groping;Skive;3;6;4;3;7;2;4;2;4;2;3;1;4;3
Offence against public decency by groping;Struer;0;1;2;2;3;2;0;2;1;0;4;0;1;1
Offence against public decency by groping;Viborg;4;4;9;12;9;7;0;8;2;3;5;6;4;23
Offence against public decency by groping;Brønderslev;0;0;1;3;7;2;7;0;1;4;1;4;2;2
Offence against public decency by groping;Frederikshavn;1;4;5;4;3;6;2;2;5;8;3;3;4;8
Offence against public decency by groping;Hjørring;3;1;4;5;1;2;2;4;3;5;5;3;5;4
Offence against public decency by groping;Jammerbugt;3;0;0;3;3;8;4;4;2;3;1;2;3;7
Offence against public decency by groping;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;10;1
Offence against public decency by groping;Mariagerfjord;2;2;5;1;6;1;0;1;0;2;4;3;3;2
Offence against public decency by groping;Morsø;4;0;0;0;2;2;0;0;3;1;3;1;0;2
Offence against public decency by groping;Rebild;2;1;0;1;1;4;2;1;0;1;1;0;2;2
Offence against public decency by groping;Thisted;1;3;1;1;0;1;3;3;2;4;2;3;1;0
Offence against public decency by groping;Vesthimmerlands;2;3;2;1;2;1;1;2;3;7;4;4;2;5
Offence against public decency by groping;Aalborg;14;8;7;7;16;8;6;36;11;10;15;14;14;20
Offence against public decency by groping;Unknown municipality;10;4;8;8;16;12;10;2;10;4;10;12;10;10
Offence against public decency by indecent exposure;Copenhagen;19;10;12;12;23;21;16;29;14;21;32;25;30;39
Offence against public decency by indecent exposure;Frederiksberg;3;1;1;1;5;1;1;3;2;26;1;0;2;6
Offence against public decency by indecent exposure;Dragør;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Offence against public decency by indecent exposure;Tårnby;4;1;1;3;0;3;1;1;0;0;1;2;2;0
Offence against public decency by indecent exposure;Albertslund;0;5;2;2;1;0;1;2;4;0;3;1;0;1
Offence against public decency by indecent exposure;Ballerup;1;0;1;1;0;2;2;0;2;1;1;0;0;1
Offence against public decency by indecent exposure;Brøndby;0;0;1;2;0;0;1;0;0;2;0;1;2;4
Offence against public decency by indecent exposure;Gentofte;0;1;1;1;1;12;3;0;1;0;2;2;1;2
Offence against public decency by indecent exposure;Gladsaxe;1;2;0;0;2;7;0;1;0;0;3;2;3;5
Offence against public decency by indecent exposure;Glostrup;0;0;0;0;3;5;1;0;0;0;1;2;1;1
Offence against public decency by indecent exposure;Herlev;1;1;1;0;0;0;1;1;1;1;0;0;5;1
Offence against public decency by indecent exposure;Hvidovre;0;2;0;1;0;0;0;5;3;0;1;1;1;4
Offence against public decency by indecent exposure;Høje-Taastrup;1;1;1;1;2;1;3;0;4;3;1;0;4;3
Offence against public decency by indecent exposure;Ishøj;0;1;1;2;2;1;5;0;1;1;2;0;1;4
Offence against public decency by indecent exposure;Lyngby-Taarbæk;2;2;0;0;1;1;1;12;0;1;1;3;1;1
Offence against public decency by indecent exposure;Rødovre;0;1;0;1;0;0;0;0;2;1;0;1;0;1
Offence against public decency by indecent exposure;Vallensbæk;1;0;0;1;3;0;0;0;0;0;0;0;1;0
Offence against public decency by indecent exposure;Allerød;0;0;1;0;0;0;1;2;1;1;1;1;2;0
Offence against public decency by indecent exposure;Egedal;0;0;1;0;4;0;8;1;0;0;1;0;0;1
Offence against public decency by indecent exposure;Fredensborg;1;1;0;0;1;2;0;2;2;0;1;0;1;2
Offence against public decency by indecent exposure;Frederikssund;0;2;0;1;0;0;0;0;1;0;2;1;0;2
Offence against public decency by indecent exposure;Furesø;2;1;0;0;1;1;0;0;0;1;4;0;0;2
Offence against public decency by indecent exposure;Gribskov;0;1;0;1;0;0;1;2;1;0;3;1;1;0
Offence against public decency by indecent exposure;Halsnæs;1;0;0;17;1;1;1;0;1;0;1;0;1;0
Offence against public decency by indecent exposure;Helsingør;2;2;0;1;5;1;6;1;2;2;2;3;2;0
Offence against public decency by indecent exposure;Hillerød;3;0;0;2;0;2;1;1;1;1;1;0;1;2
Offence against public decency by indecent exposure;Hørsholm;1;1;0;0;0;1;5;1;0;0;1;0;0;1
Offence against public decency by indecent exposure;Rudersdal;1;2;4;1;0;0;0;3;0;0;1;1;1;1
Offence against public decency by indecent exposure;Bornholm;0;4;0;1;0;0;0;1;0;0;0;2;0;0
Offence against public decency by indecent exposure;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offence against public decency by indecent exposure;Greve;2;1;1;1;11;4;9;1;1;0;0;0;1;0
Offence against public decency by indecent exposure;Køge;0;0;1;0;1;0;4;5;1;1;1;0;3;2
Offence against public decency by indecent exposure;Lejre;3;0;1;0;2;0;2;1;0;1;0;0;0;0
Offence against public decency by indecent exposure;Roskilde;1;2;0;1;5;12;3;3;2;1;0;4;4;10
Offence against public decency by indecent exposure;Solrød;0;0;0;1;1;1;1;1;0;0;0;2;0;0
Offence against public decency by indecent exposure;Faxe;0;2;0;0;0;2;1;6;1;1;0;1;0;0
Offence against public decency by indecent exposure;Guldborgsund;1;0;2;4;9;2;8;1;0;1;0;4;0;0
Offence against public decency by indecent exposure;Holbæk;7;0;3;5;1;8;2;6;3;3;0;5;6;3
Offence against public decency by indecent exposure;Kalundborg;0;0;0;2;1;0;0;3;0;0;1;0;3;2
Offence against public decency by indecent exposure;Lolland;0;1;1;1;1;1;0;3;2;1;0;0;1;3
Offence against public decency by indecent exposure;Næstved;4;3;0;3;2;2;11;5;1;1;0;3;1;3
Offence against public decency by indecent exposure;Odsherred;0;0;0;0;1;1;1;2;5;1;0;0;4;3
Offence against public decency by indecent exposure;Ringsted;0;0;0;1;0;2;0;2;2;0;0;2;2;2
Offence against public decency by indecent exposure;Slagelse;2;2;2;1;2;1;1;4;1;18;5;2;4;7
Offence against public decency by indecent exposure;Sorø;0;0;2;0;0;0;1;0;0;3;1;0;2;2
Offence against public decency by indecent exposure;Stevns;1;0;0;0;0;0;0;1;0;0;3;0;0;3
Offence against public decency by indecent exposure;Vordingborg;1;1;1;0;1;1;1;1;0;7;2;2;0;1
Offence against public decency by indecent exposure;Assens;0;1;1;2;2;1;5;3;6;0;0;1;1;4
Offence against public decency by indecent exposure;Faaborg-Midtfyn;0;0;0;2;1;0;0;1;2;4;1;1;1;0
Offence against public decency by indecent exposure;Kerteminde;0;0;0;1;1;0;1;0;7;0;0;0;0;3
Offence against public decency by indecent exposure;Langeland;1;0;0;1;1;0;0;0;0;1;0;0;0;0
Offence against public decency by indecent exposure;Middelfart;0;2;0;0;0;0;0;0;0;1;0;5;1;2
Offence against public decency by indecent exposure;Nordfyns;0;0;0;0;1;0;1;0;0;1;0;0;0;1
Offence against public decency by indecent exposure;Nyborg;1;0;1;1;0;0;0;3;0;0;0;12;0;1
Offence against public decency by indecent exposure;Odense;10;5;9;15;7;14;6;13;8;11;8;9;16;11
Offence against public decency by indecent exposure;Svendborg;4;3;1;0;4;0;2;1;5;2;12;1;0;0
Offence against public decency by indecent exposure;Ærø;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Offence against public decency by indecent exposure;Billund;0;0;1;1;0;0;1;0;0;0;0;0;1;1
Offence against public decency by indecent exposure;Esbjerg;4;5;2;1;1;6;1;4;10;9;6;2;5;8
Offence against public decency by indecent exposure;Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offence against public decency by indecent exposure;Fredericia;1;1;2;1;1;0;2;2;1;3;0;1;1;3
Offence against public decency by indecent exposure;Haderslev;1;1;5;1;2;1;2;0;0;2;2;2;1;2
Offence against public decency by indecent exposure;Kolding;5;0;5;4;2;4;2;2;7;3;1;1;5;5
Offence against public decency by indecent exposure;Sønderborg;2;2;0;2;5;2;0;2;0;5;5;2;1;3
Offence against public decency by indecent exposure;Tønder;0;0;3;1;2;0;2;2;1;6;0;1;0;0
Offence against public decency by indecent exposure;Varde;1;1;1;1;2;1;5;2;3;2;3;0;3;0
Offence against public decency by indecent exposure;Vejen;0;1;0;0;1;1;4;0;2;0;1;8;4;0
Offence against public decency by indecent exposure;Vejle;3;0;1;0;2;4;5;2;3;2;1;2;3;3
Offence against public decency by indecent exposure;Aabenraa;2;3;3;6;2;3;3;4;2;1;2;0;1;4
Offence against public decency by indecent exposure;Favrskov;0;0;0;0;0;1;0;1;0;0;4;0;4;14
Offence against public decency by indecent exposure;Hedensted;0;0;1;0;0;0;1;0;0;0;0;1;1;0
Offence against public decency by indecent exposure;Horsens;0;2;2;1;8;3;2;3;0;0;4;8;5;8
Offence against public decency by indecent exposure;Norddjurs;1;0;1;1;0;0;0;0;0;1;0;3;0;2
Offence against public decency by indecent exposure;Odder;0;0;0;0;0;1;0;0;0;0;0;1;0;2
Offence against public decency by indecent exposure;Randers;2;2;2;3;1;0;2;1;2;2;0;1;9;7
Offence against public decency by indecent exposure;Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offence against public decency by indecent exposure;Silkeborg;2;0;1;1;0;1;2;2;1;1;1;6;3;4
Offence against public decency by indecent exposure;Skanderborg;3;0;0;0;7;0;0;3;0;0;1;2;1;0
Offence against public decency by indecent exposure;Syddjurs;2;0;0;1;0;1;2;0;1;1;0;2;0;0
Offence against public decency by indecent exposure;Aarhus;11;3;5;11;6;9;12;8;25;15;14;10;18;7
Offence against public decency by indecent exposure;Herning;0;1;0;2;2;1;2;2;1;4;1;5;5;0
Offence against public decency by indecent exposure;Holstebro;1;1;0;0;2;2;0;1;2;2;0;4;1;3
Offence against public decency by indecent exposure;Ikast-Brande;0;0;2;2;3;0;0;4;1;0;1;0;1;5
Offence against public decency by indecent exposure;Lemvig;0;0;0;0;2;0;0;1;0;0;0;0;1;0
Offence against public decency by indecent exposure;Ringkøbing-Skjern;0;0;0;0;0;0;0;2;1;1;1;4;2;10
Offence against public decency by indecent exposure;Skive;0;0;0;3;2;1;3;0;1;1;1;1;3;4
Offence against public decency by indecent exposure;Struer;0;0;0;1;0;1;1;0;4;0;1;0;6;1
Offence against public decency by indecent exposure;Viborg;1;0;1;1;4;9;0;1;0;5;9;2;8;6
Offence against public decency by indecent exposure;Brønderslev;2;0;3;0;3;1;1;2;1;8;1;3;1;3
Offence against public decency by indecent exposure;Frederikshavn;0;1;1;9;0;0;1;3;0;0;3;1;1;2
Offence against public decency by indecent exposure;Hjørring;1;1;0;4;0;0;0;1;0;1;5;4;4;1
Offence against public decency by indecent exposure;Jammerbugt;0;0;2;0;2;1;0;1;0;4;0;1;0;1
Offence against public decency by indecent exposure;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offence against public decency by indecent exposure;Mariagerfjord;3;0;1;0;1;1;1;0;0;0;0;0;1;4
Offence against public decency by indecent exposure;Morsø;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Offence against public decency by indecent exposure;Rebild;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Offence against public decency by indecent exposure;Thisted;0;0;0;1;0;0;6;0;1;0;2;1;2;1
Offence against public decency by indecent exposure;Vesthimmerlands;0;1;0;4;0;1;1;0;0;0;0;2;5;13
Offence against public decency by indecent exposure;Aalborg;6;4;9;1;4;3;2;6;11;5;5;13;21;12
Offence against public decency by indecent exposure;Unknown municipality;1;2;0;0;1;0;1;1;7;5;1;2;2;11
Any other kind of offence against public decency;Copenhagen;11;9;8;12;21;18;9;18;21;31;35;263;74;107
Any other kind of offence against public decency;Frederiksberg;4;4;0;3;2;2;4;0;4;6;1;55;6;4
Any other kind of offence against public decency;Dragør;0;0;1;0;0;0;0;0;2;14;2;5;0;1
Any other kind of offence against public decency;Tårnby;1;2;1;0;0;0;2;0;3;0;4;50;48;9
Any other kind of offence against public decency;Albertslund;0;5;4;1;0;6;0;2;1;3;120;4;6;3
Any other kind of offence against public decency;Ballerup;2;1;0;1;2;0;0;2;3;2;1;2;3;2
Any other kind of offence against public decency;Brøndby;1;5;2;2;14;11;0;0;0;3;197;2;2;6
Any other kind of offence against public decency;Gentofte;2;0;2;1;1;2;2;6;0;0;11;44;5;3
Any other kind of offence against public decency;Gladsaxe;4;1;1;0;0;2;7;5;2;3;4;4;4;1
Any other kind of offence against public decency;Glostrup;1;2;3;1;0;1;1;1;0;2;2;2;0;4
Any other kind of offence against public decency;Herlev;0;4;0;0;3;2;1;3;0;0;6;1;4;1
Any other kind of offence against public decency;Hvidovre;2;3;3;2;5;31;2;0;1;5;7;4;20;3
Any other kind of offence against public decency;Høje-Taastrup;5;1;1;1;0;1;1;6;4;6;1;7;6;4
Any other kind of offence against public decency;Ishøj;0;1;3;0;1;1;0;3;1;2;2;2;1;2
Any other kind of offence against public decency;Lyngby-Taarbæk;1;1;11;0;1;5;6;2;3;0;24;12;5;2
Any other kind of offence against public decency;Rødovre;4;0;0;2;2;3;1;0;1;1;2;4;1;4
Any other kind of offence against public decency;Vallensbæk;0;0;1;0;0;0;1;0;1;0;0;0;1;2
Any other kind of offence against public decency;Allerød;0;1;1;2;0;1;0;0;0;2;5;6;3;0
Any other kind of offence against public decency;Egedal;0;3;1;0;1;1;0;1;11;3;5;12;6;0
Any other kind of offence against public decency;Fredensborg;0;2;1;0;0;2;1;2;2;1;3;27;4;3
Any other kind of offence against public decency;Frederikssund;2;6;3;2;1;0;0;0;3;3;5;6;2;8
Any other kind of offence against public decency;Furesø;1;1;0;0;0;38;65;0;0;4;144;16;2;10
Any other kind of offence against public decency;Gribskov;3;0;0;0;1;1;0;0;0;0;17;9;10;10
Any other kind of offence against public decency;Halsnæs;1;0;1;1;2;0;2;0;0;5;2;3;4;0
Any other kind of offence against public decency;Helsingør;3;2;0;3;5;17;6;5;3;2;28;25;10;8
Any other kind of offence against public decency;Hillerød;4;2;2;1;1;1;5;2;0;3;16;18;3;22
Any other kind of offence against public decency;Hørsholm;1;0;0;0;0;1;0;0;0;0;6;9;1;0
Any other kind of offence against public decency;Rudersdal;4;1;13;9;4;1;0;1;3;1;6;20;6;4
Any other kind of offence against public decency;Bornholm;4;6;2;5;2;1;14;3;5;12;2;5;9;7
Any other kind of offence against public decency;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of offence against public decency;Greve;3;1;3;6;14;4;2;1;1;3;1;5;2;3
Any other kind of offence against public decency;Køge;8;5;1;3;3;1;4;7;2;2;3;4;5;2
Any other kind of offence against public decency;Lejre;0;1;1;4;0;0;0;2;1;0;0;0;1;2
Any other kind of offence against public decency;Roskilde;5;3;4;5;10;5;5;10;7;1;62;7;17;9
Any other kind of offence against public decency;Solrød;0;1;1;0;0;1;0;0;0;1;0;1;3;1
Any other kind of offence against public decency;Faxe;0;2;1;1;0;1;3;3;2;1;4;7;1;7
Any other kind of offence against public decency;Guldborgsund;4;4;6;17;3;7;3;7;3;8;4;18;10;7
Any other kind of offence against public decency;Holbæk;6;6;3;4;6;6;1;61;6;5;6;6;3;7
Any other kind of offence against public decency;Kalundborg;5;0;2;6;2;2;2;3;1;6;9;1;11;5
Any other kind of offence against public decency;Lolland;1;2;1;5;5;5;7;6;10;3;6;10;2;7
Any other kind of offence against public decency;Næstved;3;1;4;6;3;5;4;6;5;6;5;8;6;9
Any other kind of offence against public decency;Odsherred;0;1;3;4;2;0;5;1;1;3;3;5;8;16
Any other kind of offence against public decency;Ringsted;0;1;2;0;3;6;0;0;6;1;1;5;2;3
Any other kind of offence against public decency;Slagelse;3;1;2;6;7;4;1;3;7;6;14;8;16;23
Any other kind of offence against public decency;Sorø;0;2;2;1;0;1;0;1;10;0;4;7;10;9
Any other kind of offence against public decency;Stevns;4;0;0;0;0;2;4;1;0;0;1;2;2;2
Any other kind of offence against public decency;Vordingborg;9;1;0;0;2;1;1;2;7;5;4;4;11;9
Any other kind of offence against public decency;Assens;5;1;5;6;1;1;4;14;8;1;5;0;6;11
